Name,Population,knownNames
Solan,727953.408,Solan
Solapur,5416193.126,Solapur
Sonbhadra,2336394.01,Sonbhadra
Sonipat,1818881.254,Sonipat
Sonitpur,2413603.584,Sonitpur
South,3426931.738,South
South Andaman,298725.3248,South Andaman
South District,184208.64,South District
South Garo Hills,178543.7696,South Garo Hills
South Goa,803489.6128,South Goa
South Tripura ,1098855.654,South Tripura 
South 24 Parganas,10238363.88,South Twenty Four Parganas
South West,2876286.515,South West
s.p.s. Nellore,3717485.901,Sri Potti Sriramulu Nellore
Srikakulam,3390786.202,Srikakulam
Srinagar,1551478.298,Srinagar
Subarnapur,765413.5552,Subarnapur
Sultanpur,4763103.565,Sultanpur
Sundargarh,2626007.373,Sundargarh
Supaul,2796152.934,Supaul
Surat,7628410.317,Surat
Surendranagar,2203062.579,Surendranagar
Surguja,2960240.998,Surguja
Tamenglong ,176432.6144,Tamenglong 
Tapi,1012328.397,Tapi
Tarn Taran,1404460.109,Tarn Taran
Tawang,62691.1488,Tawang
Tehri Garhwal,776387.0464,Tehri Garhwal
Thane,13873849.65,Thane
Thanjavur,3017948.416,Thanjavur
dang,286368.2304,The Dangs
The Nilgiris,922478.2336,The Nilgiris
Theni  ,1562855.706,Theni  
Thiruvallur,4676533.658,Thiruvallur
Thiruvananthapuram,4141310.029,Thiruvananthapuram
Thiruvarur,1585909.069,Thiruvarur
Thoothukkudi,2195420.774,Thoothukkudi
Thoubal,529567.5392,Thoubal
Thrissur,3915233.28,Thrissur
Tikamgarh,1812816.23,Tikamgarh
Tinsukia,1665754.138,Tinsukia
Tirap,140461.44,Tirap
Tiruchirappalli,3414840.576,Tiruchirappalli
Tirunelveli ,3860081.075,Tirunelveli 
Tiruppur,3109722.829,Tiruppur
Tiruvannamalai,3091939.2,Tiruvannamalai
Tonk,1782911.334,Tonk
Tuensang,246610.0224,Tuensang
Tumkur,3360512.512,Tumkur
Udaipur,3849026.048,"Udaipur,chota udaipur,chhota udaipur"
Udalguri,1043244.339,Udalguri
Udham Singh Nagar,2068382.669,Udham Singh Nagar
Udhampur,696173.184,Udhampur
Udupi,1476881.638,Udupi
Ujjain,2492322.202,Ujjain
Ukhrul,230807.0912,Ukhrul
Umaria,808784.4352,Umaria
Una,653759.4112,Una
Unnao,3899135.565,Unnao
Upper Siang,44305.408,Upper Siang
Upper Subansiri,104677.1712,Upper Subansiri
Uttar Bastar Kanker,939471.5904,Uttar Bastar Kanker
Uttar Dinajpur,3772148.89,Uttar Dinajpur
Uttara Kannada,1802784.794,Uttara Kannada
Uttarkashi,414059.8784,Uttarkashi
Vadodara,5225361.254,Vadodara
Vaishali,4384154.342,Vaishali
Valsad,2139602.483,Valsad
Varanasi,4612229.35,Varanasi
Vellore,4937733.606,Vellore
Vidisha,1830012.8,Vidisha
Viluppuram,4338810.291,Viluppuram
Virudhunagar,2436406.067,Virudhunagar
Visakhapatnam,5382114.842,Visakhapatnam
Vizianagaram,2940908.186,Vizianagaram
Warangal urban,4406175.334,Warangal
Wardha,1631690.906,Wardha
Washim,1501717.504,Washim
Wayanad,1025371.648,Wayanad
West,3190244.019,West
West District,171144.064,West District
West Garo Hills,806944.2304,West Garo Hills
West Godavari,4938530.15,West Godavari
West Kameng,105303.1168,West Kameng
West Khasi Hills,481013.4784,West Khasi Hills
West Siang,140836.5056,West Siang
West Tripura ,2164767.002,West Tripura 
Wokha,208660.6592,Wokha
Y.S.R.,3615769.114,Y.S.R.
Yadgir,1473005.542,Yadgir
Yamunanagar,1523098.752,Yamunanagar
Yanam,69777.2544,Yanam
Yavatmal,3477633.331,Yavatmal
Zunheboto,176565.5808,Zunheboto
Unknown,1000000,unknown
